|NP|Fc|DA|NC|AQ|Fp|SP|DI|Z|VM|CC|RG|CS|VS|PR|P0|PP|RN|PD|DD|Fz|DP|Fr|AO|Fd|Fh|Fx|PI|VA|Fg|Fs|Fe|PT|I|PX|Fa|Fi|Fl
NP|0.00130890052356|0.322916666667|0.0113636363636|0.0421686746988|0.0586011342155|0.277108433735|0.076|0.0315315315315|0.217194570136|0.0863309352518|0.211538461538|0.0845070422535|0.0454545454545|0.172413793103|0.0748299319728|0.136752136752|0.0588235294118|0.078431372549|0.0204081632653|0.041095890411|0.247191011236|0.0141843971631|0.115384615385|0.015625|0.135802469136|0.0357142857143|0.142857142857|0.0508474576271|0.0722891566265|0.08|0.0384615384615|0.0333333333333|0.0384615384615|0.0384615384615|0.0384615384615|0.0384615384615|0.0416649306279|0.115384615385
Fc|0.0968586387435|0.00208333333333|0.0661157024793|0.0319277108434|0.0113421550095|0.00602409638554|0.0576|0.0315315315315|0.00904977375566|0.0671462829736|0.0961538461538|0.112676056338|0.106060606061|0.064039408867|0.0680272108844|0.0769230769231|0.0504201680672|0.0392156862745|0.0612244897959|0.13698630137|0.0112359550562|0.0283687943262|0.0192307692308|0.03125|0.0123456790123|0.0357142857143|0.0178571428571|0.0677966101695|0.0963855421687|0.04|0.115384615385|0.0333333333333|0.0384615384615|0.0384615384615|0.0384615384615|0.0384615384615|0.0416649306279|0.0384615384615
DA|0.206806282723|0.00208333333333|0.00103305785124|0.390361445783|0.109640831758|0.00602409638554|0.0032|0.018018018018|0.14479638009|0.0179856115108|0.00320512820513|0.0704225352113|0.00505050505051|0.0147783251232|0.176870748299|0.00854700854701|0.00840336134454|0.0196078431373|0.0204081632653|0.041095890411|0.0112359550562|0.00709219858156|0.0769230769231|0.390625|0.0123456790123|0.0357142857143|0.0178571428571|0.0508474576271|0.0240963855422|0.04|0.0384615384615|0.0333333333333|0.0384615384615|0.0384615384615|0.0769230769231|0.0384615384615|0.0416649306279|0.0384615384615
NC|0.159685863874|0.289583333333|0.0123966942149|0.0277108433735|0.470699432892|0.325301204819|0.3736|0.018018018018|0.117647058824|0.117505995204|0.330128205128|0.0985915492958|0.0707070707071|0.147783251232|0.272108843537|0.196581196581|0.0756302521008|0.078431372549|0.0204081632653|0.041095890411|0.314606741573|0.00709219858156|0.182692307692|0.015625|0.16049382716|0.0357142857143|0.232142857143|0.0677966101695|0.132530120482|0.04|0.0384615384615|0.0333333333333|0.0384615384615|0.0384615384615|0.0384615384615|0.0384615384615|0.0416649306279|0.0384615384615
AQ|0.0418848167539|0.114583333333|0.00619834710744|0.0656626506024|0.0207939508507|0.066265060241|0.084|0.0045045045045|0.0542986425339|0.037170263789|0.0737179487179|0.0422535211268|0.0606060606061|0.0394088669951|0.0952380952381|0.0512820512821|0.0168067226891|0.137254901961|0.0204081632653|0.013698630137|0.0674157303371|0.0141843971631|0.0673076923077|0.015625|0.0987654320988|0.107142857143|0.0892857142857|0.0169491525424|0.0481927710843|0.04|0.0384615384615|0.0666666666667|0.0384615384615|0.0384615384615|0.0384615384615|0.0769230769231|0.0416649306279|0.0384615384615
Fp|0.0340314136126|0.01875|0.00413223140496|0.0150602409639|0.00567107750473|0.0180722891566|0.0112|0.00900900900901|0.0452488687783|0.00719424460432|0.0192307692308|0.0093896713615|0.00505050505051|0.0197044334975|0.0272108843537|0.017094017094|0.00840336134454|0.0196078431373|0.0204081632653|0.013698630137|0.0449438202247|0.00709219858156|0.115384615385|0.015625|0.0246913580247|0.0357142857143|0.0892857142857|0.0169491525424|0.0120481927711|0.04|0.0384615384615|0.0333333333333|0.0384615384615|0.115384615385|0.0384615384615|0.0384615384615|0.0416649306279|0.0384615384615
SP|0.168848167539|0.00208333333333|0.60020661157|0.104819277108|0.0302457466919|0.0120481927711|0.0032|0.378378378378|0.140271493213|0.0743405275779|0.00320512820513|0.0422535211268|0.0252525252525|0.0738916256158|0.0680272108844|0.017094017094|0.126050420168|0.0588235294118|0.387755102041|0.356164383562|0.0112359550562|0.54609929078|0.0192307692308|0.03125|0.0493827160494|0.0357142857143|0.0178571428571|0.152542372881|0.0361445783133|0.04|0.0384615384615|0.0333333333333|0.0769230769231|0.0384615384615|0.0384615384615|0.0384615384615|0.0416649306279|0.0384615384615
DI|0.00392670157068|0.00208333333333|0.00619834710744|0.101807228916|0.0321361058601|0.00602409638554|0.0016|0.00900900900901|0.027149321267|0.00119904076739|0.00641025641026|0.00469483568075|0.00505050505051|0.0147783251232|0.00680272108844|0.00854700854701|0.00840336134454|0.0196078431373|0.0204081632653|0.027397260274|0.0112359550562|0.0141843971631|0.00961538461538|0.015625|0.0123456790123|0.0357142857143|0.0178571428571|0.0847457627119|0.0120481927711|0.04|0.0384615384615|0.0666666666667|0.0384615384615|0.0384615384615|0.0384615384615|0.0384615384615|0.0416649306279|0.0384615384615
Z|0.121727748691|0.0104166666667|0.00206611570248|0.0168674698795|0.00567107750473|0.0602409638554|0.0192|0.0135135135135|0.0361990950226|0.00239808153477|0.0384615384615|0.0093896713615|0.010101010101|0.00985221674877|0.0340136054422|0.00854700854701|0.00840336134454|0.0196078431373|0.0408163265306|0.013698630137|0.0224719101124|0.00709219858156|0.00961538461538|0.015625|0.0123456790123|0.0357142857143|0.0178571428571|0.0169491525424|0.0120481927711|0.04|0.0384615384615|0.0333333333333|0.0384615384615|0.0384615384615|0.0384615384615|0.0384615384615|0.0416649306279|0.0384615384615
VM|0.0157068062827|0.0770833333333|0.0898760330579|0.0319277108434|0.0245746691871|0.0481927710843|0.2376|0.171171171171|0.0135746606335|0.0515587529976|0.0833333333333|0.140845070423|0.444444444444|0.0985221674877|0.0136054421769|0.00854700854701|0.243697478992|0.0196078431373|0.0204081632653|0.041095890411|0.0112359550562|0.184397163121|0.0769230769231|0.015625|0.123456790123|0.0357142857143|0.0357142857143|0.0677966101695|0.0602409638554|0.04|0.0384615384615|0.0333333333333|0.0769230769231|0.0384615384615|0.0384615384615|0.0384615384615|0.0416649306279|0.0384615384615
CC|0.044502617801|0.0145833333333|0.051652892562|0.0240963855422|0.0283553875236|0.00602409638554|0.0264|0.0495495495495|0.0542986425339|0.0575539568345|0.00320512820513|0.0422535211268|0.0353535353535|0.0344827586207|0.0340136054422|0.0854700854701|0.0672268907563|0.117647058824|0.0612244897959|0.027397260274|0.0112359550562|0.0212765957447|0.0384615384615|0.03125|0.0123456790123|0.0357142857143|0.0178571428571|0.0677966101695|0.0240963855422|0.04|0.0384615384615|0.0666666666667|0.0384615384615|0.0384615384615|0.0384615384615|0.0384615384615|0.0416649306279|0.0384615384615
RG|0.00392670157068|0.0458333333333|0.0134297520661|0.00301204819277|0.0737240075614|0.00602409638554|0.0248|0.0315315315315|0.0226244343891|0.0395683453237|0.00641025641026|0.0610328638498|0.030303030303|0.0492610837438|0.0136054421769|0.0769230769231|0.00840336134454|0.0980392156863|0.0204081632653|0.013698630137|0.0112359550562|0.00709219858156|0.00961538461538|0.015625|0.123456790123|0.0357142857143|0.0357142857143|0.0338983050847|0.0120481927711|0.04|0.0384615384615|0.0333333333333|0.0384615384615|0.0384615384615|0.0384615384615|0.0384615384615|0.0416649306279|0.0384615384615
CS|0.0183246073298|0.00416666666667|0.0485537190083|0.00542168674699|0.00945179584121|0.00602409638554|0.0152|0.0855855855856|0.0135746606335|0.0179856115108|0.00641025641026|0.0516431924883|0.020202020202|0.0344827586207|0.0136054421769|0.0683760683761|0.0588235294118|0.0588235294118|0.0408163265306|0.0547945205479|0.0112359550562|0.0354609929078|0.0480769230769|0.015625|0.0246913580247|0.0357142857143|0.0178571428571|0.0508474576271|0.0481927710843|0.04|0.0384615384615|0.0333333333333|0.0384615384615|0.0384615384615|0.0384615384615|0.0384615384615|0.0416649306279|0.0384615384615
VS|0.0065445026178|0.0104166666667|0.0309917355372|0.00542168674699|0.0378071833648|0.00602409638554|0.0128|0.0810810810811|0.0135746606335|0.068345323741|0.0160256410256|0.075117370892|0.0353535353535|0.00985221674877|0.00680272108844|0.00854700854701|0.00840336134454|0.0196078431373|0.0204081632653|0.013698630137|0.0112359550562|0.0141843971631|0.0192307692308|0.015625|0.0617283950617|0.0357142857143|0.0178571428571|0.0338983050847|0.0120481927711|0.04|0.0384615384615|0.0666666666667|0.0384615384615|0.0384615384615|0.0384615384615|0.0384615384615|0.0416649306279|0.0384615384615
PR|0.00785340314136|0.0208333333333|0.0051652892562|0.00180722891566|0.00189035916824|0.00602409638554|0.004|0.00900900900901|0.00452488687783|0.0611510791367|0.00320512820513|0.018779342723|0.0151515151515|0.0689655172414|0.00680272108844|0.111111111111|0.0588235294118|0.0196078431373|0.0204081632653|0.013698630137|0.0112359550562|0.00709219858156|0.00961538461538|0.015625|0.0123456790123|0.0357142857143|0.0178571428571|0.0169491525424|0.156626506024|0.04|0.0384615384615|0.0333333333333|0.0384615384615|0.0384615384615|0.0384615384615|0.0384615384615|0.0416649306279|0.0384615384615
P0|0.00130890052356|0.00208333333333|0.00103305785124|0.000602409638554|0.00189035916824|0.00602409638554|0.0008|0.0045045045045|0.00452488687783|0.103117505995|0.00320512820513|0.00469483568075|0.00505050505051|0.00492610837438|0.00680272108844|0.00854700854701|0.0924369747899|0.0196078431373|0.0204081632653|0.013698630137|0.0112359550562|0.00709219858156|0.00961538461538|0.015625|0.0123456790123|0.0357142857143|0.0178571428571|0.0169491525424|0.0722891566265|0.04|0.0384615384615|0.0333333333333|0.0384615384615|0.0384615384615|0.0384615384615|0.0384615384615|0.0416649306279|0.0384615384615
PP|0.00130890052356|0.00833333333333|0.00309917355372|0.00120481927711|0.00945179584121|0.0240963855422|0.0104|0.0045045045045|0.00452488687783|0.0635491606715|0.0160256410256|0.0093896713615|0.020202020202|0.0197044334975|0.0136054421769|0.00854700854701|0.00840336134454|0.0196078431373|0.0204081632653|0.013698630137|0.0112359550562|0.0141843971631|0.00961538461538|0.015625|0.0123456790123|0.0357142857143|0.0535714285714|0.0338983050847|0.0361445783133|0.04|0.0384615384615|0.0666666666667|0.0384615384615|0.0384615384615|0.0384615384615|0.0384615384615|0.0416649306279|0.0384615384615
RN|0.00130890052356|0.00208333333333|0.00103305785124|0.000602409638554|0.00378071833648|0.0120481927711|0.0024|0.0045045045045|0.00452488687783|0.0191846522782|0.00320512820513|0.00469483568075|0.00505050505051|0.0394088669951|0.00680272108844|0.025641025641|0.00840336134454|0.0196078431373|0.0204081632653|0.013698630137|0.0112359550562|0.00709219858156|0.00961538461538|0.015625|0.0123456790123|0.0357142857143|0.0178571428571|0.0169491525424|0.0361445783133|0.04|0.0384615384615|0.0333333333333|0.0384615384615|0.0384615384615|0.0384615384615|0.0384615384615|0.0416649306279|0.0384615384615
PD|0.00261780104712|0.0166666666667|0.00103305785124|0.000602409638554|0.00189035916824|0.00602409638554|0.0008|0.0045045045045|0.00452488687783|0.0143884892086|0.00641025641026|0.00469483568075|0.00505050505051|0.0147783251232|0.0136054421769|0.017094017094|0.0168067226891|0.0196078431373|0.0204081632653|0.013698630137|0.0112359550562|0.0141843971631|0.00961538461538|0.03125|0.0123456790123|0.0357142857143|0.0178571428571|0.0169491525424|0.0240963855422|0.04|0.0384615384615|0.0333333333333|0.0384615384615|0.0384615384615|0.0384615384615|0.0384615384615|0.0416649306279|0.0384615384615
DD|0.00130890052356|0.00208333333333|0.00103305785124|0.0240963855422|0.00189035916824|0.00602409638554|0.0024|0.00900900900901|0.00452488687783|0.00119904076739|0.00320512820513|0.0093896713615|0.020202020202|0.00492610837438|0.0204081632653|0.00854700854701|0.00840336134454|0.0392156862745|0.0204081632653|0.013698630137|0.0112359550562|0.00709219858156|0.0192307692308|0.078125|0.0123456790123|0.0357142857143|0.0178571428571|0.0169491525424|0.0120481927711|0.04|0.0384615384615|0.0333333333333|0.0384615384615|0.0384615384615|0.0384615384615|0.0384615384615|0.0416649306279|0.0384615384615
Fz|0.0196335078534|0.0104166666667|0.0051652892562|0.0102409638554|0.00945179584121|0.0180722891566|0.0048|0.00900900900901|0.00904977375566|0.00479616306954|0.0224358974359|0.0093896713615|0.010101010101|0.00492610837438|0.00680272108844|0.00854700854701|0.00840336134454|0.0196078431373|0.0408163265306|0.013698630137|0.0224719101124|0.00709219858156|0.00961538461538|0.015625|0.0123456790123|0.0357142857143|0.0178571428571|0.0169491525424|0.0120481927711|0.04|0.0384615384615|0.0333333333333|0.0384615384615|0.0384615384615|0.0384615384615|0.0384615384615|0.0416649306279|0.0384615384615
DP|0.00130890052356|0.00208333333333|0.00103305785124|0.060843373494|0.0207939508507|0.00602409638554|0.0008|0.0045045045045|0.0135746606335|0.00359712230216|0.00320512820513|0.00469483568075|0.00505050505051|0.00492610837438|0.00680272108844|0.00854700854701|0.00840336134454|0.0196078431373|0.0204081632653|0.013698630137|0.0112359550562|0.00709219858156|0.0288461538462|0.125|0.0123456790123|0.0357142857143|0.0178571428571|0.0169491525424|0.0120481927711|0.04|0.0384615384615|0.0333333333333|0.0384615384615|0.0384615384615|0.0384615384615|0.0384615384615|0.0416649306279|0.0384615384615
Fr|0.0065445026178|0.0104166666667|0.0134297520661|0.00542168674699|0.0132325141777|0.0361445783133|0.0064|0.00900900900901|0.0226244343891|0.00719424460432|0.0192307692308|0.0140845070423|0.00505050505051|0.0147783251232|0.00680272108844|0.00854700854701|0.00840336134454|0.0196078431373|0.0204081632653|0.041095890411|0.0786516853933|0.00709219858156|0.00961538461538|0.015625|0.0246913580247|0.0357142857143|0.0178571428571|0.0169491525424|0.0120481927711|0.04|0.0384615384615|0.0333333333333|0.0384615384615|0.0384615384615|0.0384615384615|0.0384615384615|0.0416649306279|0.0384615384615
AO|0.00130890052356|0.00208333333333|0.00103305785124|0.0198795180723|0.00378071833648|0.00602409638554|0.0008|0.0045045045045|0.00452488687783|0.00719424460432|0.00641025641026|0.00469483568075|0.00505050505051|0.00492610837438|0.00680272108844|0.017094017094|0.00840336134454|0.0196078431373|0.0204081632653|0.013698630137|0.0112359550562|0.00709219858156|0.00961538461538|0.03125|0.0123456790123|0.0357142857143|0.0178571428571|0.0169491525424|0.0120481927711|0.04|0.0384615384615|0.0333333333333|0.0384615384615|0.0384615384615|0.0384615384615|0.0384615384615|0.0416649306279|0.0384615384615
Fd|0.0143979057592|0.00208333333333|0.0113636363636|0.00722891566265|0.00189035916824|0.00602409638554|0.0024|0.00900900900901|0.0135746606335|0.00479616306954|0.00641025641026|0.0140845070423|0.00505050505051|0.0197044334975|0.00680272108844|0.00854700854701|0.00840336134454|0.0196078431373|0.0204081632653|0.013698630137|0.0112359550562|0.0141843971631|0.0673076923077|0.015625|0.0123456790123|0.107142857143|0.0178571428571|0.0508474576271|0.0120481927711|0.04|0.0384615384615|0.0333333333333|0.0384615384615|0.0384615384615|0.0384615384615|0.0769230769231|0.0416649306279|0.0384615384615
Fh|0.00392670157068|0.00208333333333|0.00103305785124|0.000602409638554|0.00567107750473|0.00602409638554|0.0008|0.0045045045045|0.00452488687783|0.00119904076739|0.00320512820513|0.00469483568075|0.00505050505051|0.00492610837438|0.00680272108844|0.00854700854701|0.00840336134454|0.0196078431373|0.0204081632653|0.013698630137|0.0112359550562|0.00709219858156|0.00961538461538|0.015625|0.0123456790123|0.0357142857143|0.0178571428571|0.0169491525424|0.0120481927711|0.04|0.0384615384615|0.0333333333333|0.0384615384615|0.0384615384615|0.0384615384615|0.0384615384615|0.0416649306279|0.0384615384615
Fx|0.011780104712|0.00208333333333|0.0103305785124|0.00120481927711|0.00378071833648|0.00602409638554|0.0024|0.0045045045045|0.00904977375566|0.00479616306954|0.00961538461538|0.0093896713615|0.010101010101|0.00985221674877|0.00680272108844|0.017094017094|0.00840336134454|0.0196078431373|0.0204081632653|0.013698630137|0.0112359550562|0.00709219858156|0.00961538461538|0.015625|0.0123456790123|0.0357142857143|0.0178571428571|0.0169491525424|0.0240963855422|0.04|0.0384615384615|0.0333333333333|0.0384615384615|0.0384615384615|0.0384615384615|0.0384615384615|0.0416649306279|0.0384615384615
PI|0.00130890052356|0.00625|0.00309917355372|0.000602409638554|0.00378071833648|0.0120481927711|0.0136|0.0045045045045|0.00452488687783|0.0107913669065|0.00320512820513|0.0234741784038|0.00505050505051|0.00492610837438|0.00680272108844|0.00854700854701|0.0252100840336|0.0196078431373|0.0204081632653|0.013698630137|0.0112359550562|0.00709219858156|0.00961538461538|0.015625|0.0123456790123|0.0357142857143|0.0178571428571|0.0169491525424|0.0120481927711|0.04|0.0384615384615|0.0333333333333|0.0384615384615|0.0384615384615|0.0384615384615|0.0384615384615|0.0416649306279|0.0384615384615
VA|0.00130890052356|0.00208333333333|0.00206611570248|0.00180722891566|0.00567107750473|0.00602409638554|0.0048|0.0045045045045|0.00452488687783|0.0503597122302|0.00320512820513|0.0422535211268|0.00505050505051|0.0147783251232|0.00680272108844|0.00854700854701|0.00840336134454|0.0196078431373|0.0204081632653|0.013698630137|0.0112359550562|0.00709219858156|0.00961538461538|0.015625|0.0123456790123|0.0357142857143|0.0178571428571|0.0169491525424|0.0120481927711|0.04|0.0384615384615|0.0333333333333|0.0384615384615|0.0384615384615|0.0384615384615|0.0384615384615|0.0416649306279|0.0384615384615
Fg|0.00261780104712|0.00208333333333|0.00103305785124|0.000602409638554|0.00189035916824|0.00602409638554|0.0008|0.0045045045045|0.00452488687783|0.00119904076739|0.00320512820513|0.00469483568075|0.00505050505051|0.00492610837438|0.00680272108844|0.00854700854701|0.00840336134454|0.0196078431373|0.0204081632653|0.013698630137|0.0112359550562|0.00709219858156|0.00961538461538|0.015625|0.0123456790123|0.0357142857143|0.0178571428571|0.0169491525424|0.0120481927711|0.04|0.0384615384615|0.0333333333333|0.0384615384615|0.0384615384615|0.0384615384615|0.0384615384615|0.0416649306279|0.0384615384615
Fs|0.00130890052356|0.00416666666667|0.00103305785124|0.000602409638554|0.00189035916824|0.00602409638554|0.0008|0.0045045045045|0.00452488687783|0.00119904076739|0.00320512820513|0.00469483568075|0.00505050505051|0.00492610837438|0.00680272108844|0.00854700854701|0.00840336134454|0.0196078431373|0.0204081632653|0.013698630137|0.0224719101124|0.00709219858156|0.00961538461538|0.015625|0.0123456790123|0.0357142857143|0.0178571428571|0.0169491525424|0.0120481927711|0.04|0.0384615384615|0.0333333333333|0.0384615384615|0.0384615384615|0.0384615384615|0.0384615384615|0.0416649306279|0.0384615384615
Fe|0.00130890052356|0.00208333333333|0.00103305785124|0.000602409638554|0.00378071833648|0.0120481927711|0.0008|0.0045045045045|0.00452488687783|0.00119904076739|0.00641025641026|0.00469483568075|0.00505050505051|0.00492610837438|0.00680272108844|0.00854700854701|0.0168067226891|0.0196078431373|0.0204081632653|0.013698630137|0.0112359550562|0.00709219858156|0.00961538461538|0.015625|0.0123456790123|0.0357142857143|0.0357142857143|0.0169491525424|0.0120481927711|0.04|0.0384615384615|0.0333333333333|0.0384615384615|0.0384615384615|0.0769230769231|0.0384615384615|0.0416649306279|0.0384615384615
PT|0.00130890052356|0.00208333333333|0.00103305785124|0.000602409638554|0.00189035916824|0.00602409638554|0.0008|0.0045045045045|0.00452488687783|0.00239808153477|0.00320512820513|0.00469483568075|0.00505050505051|0.00492610837438|0.00680272108844|0.00854700854701|0.00840336134454|0.0196078431373|0.0204081632653|0.013698630137|0.0112359550562|0.00709219858156|0.00961538461538|0.015625|0.0123456790123|0.0357142857143|0.0178571428571|0.0169491525424|0.0120481927711|0.04|0.0384615384615|0.0333333333333|0.0384615384615|0.0384615384615|0.0384615384615|0.0384615384615|0.0416649306279|0.0384615384615
I|0.00130890052356|0.00208333333333|0.00103305785124|0.000602409638554|0.00189035916824|0.0180722891566|0.0008|0.0045045045045|0.00452488687783|0.00119904076739|0.00320512820513|0.00469483568075|0.00505050505051|0.00492610837438|0.00680272108844|0.00854700854701|0.00840336134454|0.0196078431373|0.0204081632653|0.013698630137|0.0112359550562|0.00709219858156|0.00961538461538|0.015625|0.0123456790123|0.0357142857143|0.0178571428571|0.0169491525424|0.0120481927711|0.04|0.0384615384615|0.0333333333333|0.0384615384615|0.0384615384615|0.0384615384615|0.0384615384615|0.0416649306279|0.0384615384615
PX|0.00130890052356|0.00208333333333|0.00103305785124|0.000602409638554|0.00189035916824|0.00602409638554|0.0008|0.0045045045045|0.00452488687783|0.00119904076739|0.00320512820513|0.00469483568075|0.00505050505051|0.00985221674877|0.00680272108844|0.00854700854701|0.00840336134454|0.0196078431373|0.0204081632653|0.013698630137|0.0112359550562|0.00709219858156|0.00961538461538|0.015625|0.0123456790123|0.0357142857143|0.0178571428571|0.0169491525424|0.0120481927711|0.04|0.0384615384615|0.0666666666667|0.0384615384615|0.0384615384615|0.0384615384615|0.0384615384615|0.0416649306279|0.0384615384615
Fa|0.00130890052356|0.00208333333333|0.00103305785124|0.000602409638554|0.00189035916824|0.00602409638554|0.0008|0.0045045045045|0.00452488687783|0.00239808153477|0.00320512820513|0.00469483568075|0.00505050505051|0.00492610837438|0.00680272108844|0.00854700854701|0.00840336134454|0.0196078431373|0.0204081632653|0.013698630137|0.0112359550562|0.00709219858156|0.0192307692308|0.015625|0.0123456790123|0.0357142857143|0.0178571428571|0.0169491525424|0.0120481927711|0.04|0.0384615384615|0.0333333333333|0.0384615384615|0.0384615384615|0.0384615384615|0.0384615384615|0.0416649306279|0.0384615384615
Fi|0.00392670157068|0.00208333333333|0.00103305785124|0.000602409638554|0.00189035916824|0.00602409638554|0.0008|0.0045045045045|0.00452488687783|0.00119904076739|0.00320512820513|0.00469483568075|0.00505050505051|0.00492610837438|0.00680272108844|0.00854700854701|0.00840336134454|0.0196078431373|0.0204081632653|0.013698630137|0.0112359550562|0.00709219858156|0.00961538461538|0.015625|0.0123456790123|0.0357142857143|0.0178571428571|0.0169491525424|0.0120481927711|0.04|0.0384615384615|0.0333333333333|0.0384615384615|0.0384615384615|0.0384615384615|0.0384615384615|0.0416649306279|0.0384615384615
Fl|0.00261780104712|0.00208333333333|0.00103305785124|0.000602409638554|0.00189035916824|0.00602409638554|0.0008|0.0045045045045|0.00452488687783|0.00119904076739|0.00641025641026|0.00469483568075|0.00505050505051|0.00492610837438|0.00680272108844|0.00854700854701|0.00840336134454|0.0196078431373|0.0204081632653|0.013698630137|0.0112359550562|0.00709219858156|0.00961538461538|0.015625|0.0123456790123|0.0357142857143|0.0178571428571|0.0169491525424|0.0120481927711|0.04|0.0384615384615|0.0333333333333|0.0384615384615|0.0384615384615|0.0384615384615|0.0384615384615|0.0416649306279|0.0384615384615
